Latitude,Longitude
46.7866719,-92.1004852
42.3736158,-71.1097335
38.4192496,-82.445154
44.4454432,-73.099194
42.587915,-72.5994104
37.8715926,-122.272747
39.9525839,-75.1652215
37.8043637,-122.2711137
40.6781784,-73.9441579
37.7749295,-122.4194155
42.587915,-72.5994104
39.2903848,-76.6121893
44.4758825,-73.212072
42.3600825,-71.0588801
34.134728,-116.3130661
40.8665166,-124.0828396
42.3600825,-71.0588801
37.7749295,-122.4194155
43.0389025,-87.9064736
43.0389025,-87.9064736
40.5998931,-73.7448437
44.2600593,-72.5753869
37.1184318,-82.8268265
33.9909316,-86.5774905
41.8781136,-87.6297982
40.7127753,-74.0059728
37.7749295,-122.4194155
35.1740471,-79.3922539
42.2808256,-83.7430378
41.1536674,-81.3578859
44.977753,-93.2650108
44.977753,-93.2650108
37.7749295,-122.4194155
32.2226066,-110.9747108
40.6781784,-73.9441579
40.6781784,-73.9441579
43.1565779,-77.6088465
41.8239891,-71.4128343
34.0522342,-118.2436849
41.3812245,-70.6744723
31.9554475,-84.0865706
39.1155314,-94.6267873
44.977753,-93.2650108
45.5122308,-122.6587185
42.279286,-71.4161565
37.8043637,-122.2711137
40.6781784,-73.9441579
48.0351216,-122.7760267
26.9342246,-80.0942087
37.8043637,-122.2711137
39.1031182,-84.5120196
43.0481221,-76.1474244
40.6781784,-73.9441579
44.4758825,-73.212072
35.9940329,-78.898619
37.36883,-122.0363496
37.36883,-122.0363496
45.5122308,-122.6587185
37.7749295,-122.4194155
44.9537029,-93.0899578
29.6516344,-82.3248262
37.8715926,-122.272747
47.0378741,-122.9006951
44.977753,-93.2650108
44.977753,-93.2650108
44.2600593,-72.5753869
38.9716689,-95.2352501
40.0466571,-76.1783739
37.7749295,-122.4194155
45.5122308,-122.6587185
40.6781784,-73.9441579
39.2903848,-76.6121893
37.8715926,-122.272747
36.7290029,-106.570561
43.9729649,-72.3395077
40.6781784,-73.9441579
42.3250896,-72.6412013
30.267153,-97.7430608
40.7127753,-74.0059728
37.831316,-122.2852473
35.5950581,-82.5514869
43.0730517,-89.4012302
45.5122308,-122.6587185
39.7392358,-104.990251
43.0972174,-89.5042876
40.6781784,-73.9441579
40.7830603,-73.9712488
42.3250896,-72.6412013
38.8048355,-77.0469214
43.9247446,-72.6656948
42.3463503,-71.1626756
43.0730517,-89.4012302
43.2081366,-71.5375718
35.9101438,-79.0752895
42.1014831,-72.589811
20.757508,-155.988407
44.977753,-93.2650108
39.9525839,-75.1652215
43.0730517,-89.4012302
44.2600593,-72.5753869
40.6781784,-73.9441579
43.0730517,-89.4012302
42.2625932,-71.8022934
38.8048355,-77.0469214